日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2022-11-10,'002646,天佑德酒,14.37,14.4,14.08,14.13,14.19,0.18,1.2685,0.8521,4026837,57475075.86,6790729936.38,6790729936.38
2022-11-09,'002646,天佑德酒,14.19,14.33,14.14,14.24,14.23,-0.04,-0.2811,0.493,2329692,33111500.83,6705668601.06,6705668601.06
2022-11-08,'002646,天佑德酒,14.23,14.5,14.15,14.32,14.34,-0.11,-0.7671,0.6751,3190146,45529613.87,6724571120.02,6724571120.02
2022-11-07,'002646,天佑德酒,14.34,14.46,14.08,14.18,14.18,0.16,1.1283,1.0272,4854198,69277362.41,6776553047.16,6776553047.16
2022-11-04,'002646,天佑德酒,14.18,14.35,13.74,13.76,13.76,0.42,3.0523,1.313,6204953,87611754.18,6700942971.32,6700942971.32
2022-11-03,'002646,天佑德酒,13.76,13.95,13.63,13.95,13.92,-0.16,-1.1494,0.803,3794461,52199041.0,6502466522.24,6502466522.24
2022-11-02,'002646,天佑德酒,13.92,14.12,13.63,13.7,13.79,0.13,0.9427,1.1678,5518400,76559102.19,6578076598.08,6578076598.08
2022-11-01,'002646,天佑德酒,13.79,13.81,13.06,13.1,13.01,0.78,5.9954,1.4026,6628112,89896500.89,6516643411.46,6516643411.46
2022-10-31,'002646,天佑德酒,13.01,13.13,12.78,12.95,12.99,0.02,0.154,0.7974,3768163,49007092.0,6148044291.74,6148044291.74
2022-10-28,'002646,天佑德酒,12.99,13.78,12.9,13.69,13.77,-0.78,-5.6645,1.0588,5003421,66666943.9,6138593032.26,6138593032.26
2022-10-27,'002646,天佑德酒,13.77,14.19,13.76,14.04,14.04,-0.27,-1.9231,0.7634,3607476,50188285.16,6507192151.98,6507192151.98
2022-10-26,'002646,天佑德酒,14.04,14.37,13.98,14.09,13.99,0.05,0.3574,0.8625,4075919,57755403.16,6634784154.96,6634784154.96
2022-10-25,'002646,天佑德酒,13.99,14.14,13.72,13.97,13.98,0.01,0.0715,0.4627,2186678,30532181.91,6611156006.26,6611156006.26
2022-10-24,'002646,天佑德酒,13.98,14.53,13.9,14.33,14.38,-0.4,-2.7816,0.7165,3385840,47877361.6,6606430376.52,6606430376.52
2022-10-21,'002646,天佑德酒,14.38,14.55,14.3,14.43,14.43,-0.05,-0.3465,0.3729,1762200,25407098.0,6795455566.12,6795455566.12
2022-10-20,'002646,天佑德酒,14.43,14.6,14.15,14.25,14.35,0.08,0.5575,0.4371,2065718,29813466.78,6819083714.82,6819083714.82
2022-10-19,'002646,天佑德酒,14.35,14.58,14.34,14.52,14.61,-0.26,-1.7796,0.4735,2237511,32246925.8,6781278676.9,6781278676.9
2022-10-18,'002646,天佑德酒,14.61,14.77,14.52,14.7,14.62,-0.01,-0.0684,0.4474,2114122,30912731.18,6904145050.14,6904145050.14
2022-10-17,'002646,天佑德酒,14.62,14.7,14.43,14.5,14.53,0.09,0.6194,0.6162,2912108,42511674.8,6908870679.88,6908870679.88
2022-10-14,'002646,天佑德酒,14.53,14.75,14.24,14.24,14.2,0.33,2.3239,0.7173,3389660,49213816.6,6866340012.22,6866340012.22
2022-10-13,'002646,天佑德酒,14.2,14.34,13.93,13.98,14.09,0.11,0.7807,0.5759,2721353,38535250.34,6710394230.8,6710394230.8
2022-10-12,'002646,天佑德酒,14.09,14.09,13.52,13.82,13.82,0.27,1.9537,0.687,3246462,44748327.52,6658412303.66,6658412303.66
2022-10-11,'002646,天佑德酒,13.82,14.07,13.66,13.84,13.87,-0.05,-0.3605,0.528,2495239,34544998.9,6530820300.68,6530820300.68
2022-10-10,'002646,天佑德酒,13.87,14.61,13.82,14.52,14.57,-0.7,-4.8044,0.7494,3541436,50187256.65,6554448449.38,6554448449.38
2022-09-30,'002646,天佑德酒,14.57,14.72,14.36,14.5,14.57,0.0,0.0,0.5838,2758921,40193053.52,6885242531.18,6885242531.18
2022-09-29,'002646,天佑德酒,14.57,15.08,14.5,14.99,14.81,-0.24,-1.6205,0.7824,3697145,54685487.72,6885242531.18,6885242531.18
2022-09-28,'002646,天佑德酒,14.81,15.25,14.81,15.0,15.07,-0.26,-1.7253,0.8639,4082412,61270311.9,6998657644.94,6998657644.94
2022-09-27,'002646,天佑德酒,15.07,15.08,14.44,14.59,14.57,0.5,3.4317,1.024,4839135,71701138.45,7121524018.18,7121524018.18
2022-09-26,'002646,天佑德酒,14.57,14.99,14.55,14.69,14.86,-0.29,-1.9515,0.7615,3598389,53222553.85,6885242531.18,6885242531.18
2022-09-23,'002646,天佑德酒,14.86,15.19,14.75,15.15,15.0,-0.14,-0.9333,0.7025,3319805,49733443.1,7022285793.64,7022285793.64
2022-09-22,'002646,天佑德酒,15.0,15.2,14.95,15.14,15.2,-0.2,-1.3158,0.6373,3011855,45379352.51,7088444610.0,7088444610.0
2022-09-21,'002646,天佑德酒,15.2,15.33,15.1,15.29,15.28,-0.08,-0.5236,0.564,2665098,40497870.58,7182957204.8,7182957204.8
2022-09-20,'002646,天佑德酒,15.28,15.37,14.95,14.95,14.93,0.35,2.3443,0.9413,4448460,67465931.87,7220762242.72,7220762242.72
2022-09-19,'002646,天佑德酒,14.93,15.03,14.52,14.83,14.86,0.07,0.4711,0.7636,3608555,53537515.05,7055365201.82,7055365201.82
2022-09-16,'002646,天佑德酒,14.86,15.56,14.86,15.46,15.59,-0.73,-4.6825,1.1083,5237580,79024418.21,7022285793.64,7022285793.64
2022-09-15,'002646,天佑德酒,15.59,15.96,15.36,15.8,15.77,-0.18,-1.1414,0.8298,3921399,61638333.57,7367256764.66,7367256764.66
2022-09-14,'002646,天佑德酒,15.77,15.97,15.67,15.81,16.11,-0.34,-2.1105,0.804,3799356,60008331.87,7452318099.98,7452318099.98
2022-09-13,'002646,天佑德酒,16.11,16.19,16.0,16.11,16.0,0.11,0.6875,0.9824,4642466,74712414.7,7612989511.14,7612989511.14
2022-09-09,'002646,天佑德酒,16.0,16.08,15.83,15.94,16.0,0.0,0.0,0.7586,3584987,57314222.71,7561007584.0,7561007584.0
2022-09-08,'002646,天佑德酒,16.0,16.13,15.92,15.99,15.95,0.05,0.3135,0.7076,3343815,53554947.17,7561007584.0,7561007584.0
2022-09-07,'002646,天佑德酒,15.95,16.1,15.84,16.1,16.17,-0.22,-1.3605,0.8942,4225854,67378589.49,7537379435.3,7537379435.3
2022-09-06,'002646,天佑德酒,16.17,16.17,15.94,16.05,16.06,0.11,0.6849,0.8335,3938919,63199270.9,7641343289.58,7641343289.58
2022-09-05,'002646,天佑德酒,16.06,16.09,15.83,16.04,15.99,0.07,0.4378,0.6318,2985622,47575952.62,7589361362.44,7589361362.44
2022-09-02,'002646,天佑德酒,15.99,16.03,15.82,15.92,15.92,0.07,0.4397,0.7734,3654761,58226616.3,7556281954.26,7556281954.26
2022-09-01,'002646,天佑德酒,15.92,16.3,15.8,16.25,16.33,-0.41,-2.5107,1.1708,5532980,88974604.67,7523202546.08,7523202546.08
2022-08-31,'002646,天佑德酒,16.33,16.44,16.13,16.22,16.28,0.05,0.3071,1.0617,5017330,81870447.72,7716953365.42,7716953365.42
2022-08-30,'002646,天佑德酒,16.28,16.58,16.11,16.54,16.54,-0.26,-1.5719,1.2681,5992661,97485884.23,7693325216.72,7693325216.72
2022-08-29,'002646,天佑德酒,16.54,16.76,16.34,16.62,16.9,-0.36,-2.1302,1.4659,6927396,114217734.92,7816191589.96,7816191589.96
2022-08-26,'002646,天佑德酒,16.9,17.72,16.88,17.32,17.65,-0.75,-4.2493,2.0391,9636216,166969981.34,7986314260.6,7986314260.6
2022-08-25,'002646,天佑德酒,17.65,17.67,17.19,17.51,17.41,0.24,1.3785,1.1612,5487417,96142780.95,8340736491.1,8340736491.1
2022-08-24,'002646,天佑德酒,17.41,17.71,17.39,17.62,17.68,-0.27,-1.5271,1.1997,5669287,99404232.42,8227321377.34,8227321377.34
2022-08-23,'002646,天佑德酒,17.68,17.96,17.42,17.43,17.44,0.24,1.3761,1.5511,7330126,129244361.17,8354913380.32,8354913380.32
2022-08-22,'002646,天佑德酒,17.44,17.56,17.14,17.25,17.35,0.09,0.5187,0.9319,4403693,76767167.33,8241498266.56,8241498266.56
2022-08-19,'002646,天佑德酒,17.35,17.44,17.08,17.11,17.17,0.18,1.0483,1.0628,5022210,86834217.18,8198967598.9,8198967598.9
2022-08-18,'002646,天佑德酒,17.17,17.38,17.08,17.23,17.39,-0.22,-1.2651,0.7187,3396207,58324145.24,8113906263.58,8113906263.58
2022-08-17,'002646,天佑德酒,17.39,17.42,17.2,17.35,17.35,0.04,0.2305,0.6434,3040342,52692545.71,8217870117.86,8217870117.86
