»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2022-11-10,'600132,÷ÿ«Ï∆°æ∆,108.98,109.55,105.3,106.07,106.06,2.92,2.7532,0.8606,4164914,449581640.0,52743181158.0,52743181158.0
2022-11-09,'600132,÷ÿ«Ï∆°æ∆,106.06,108.4,104.0,108.4,108.22,-2.16,-1.9959,0.6771,3277093,346141778.0,51329985259.9,51329985259.9
2022-11-08,'600132,÷ÿ«Ï∆°æ∆,108.22,110.9,106.75,109.6,109.21,-0.99,-0.9065,0.682,3300533,357527704.0,52375363047.6,52375363047.6
2022-11-07,'600132,÷ÿ«Ï∆°æ∆,109.21,111.2,106.6,108.01,110.8,-1.59,-1.435,1.492,7220629,785804521.0,52854494533.6,52854494533.6
2022-11-04,'600132,÷ÿ«Ï∆°æ∆,110.8,111.95,101.05,101.05,102.8,8.0,7.7821,1.4103,6825331,734818470.0,53624008738.4,53624008738.4
2022-11-03,'600132,÷ÿ«Ï∆°æ∆,102.8,103.0,98.2,98.58,100.61,2.19,2.1767,0.9706,4697448,476416100.0,49752239154.4,49752239154.4
2022-11-02,'600132,÷ÿ«Ï∆°æ∆,100.61,104.09,93.17,93.93,94.68,5.93,6.2632,2.3512,11379200,1128350116.0,48692342230.8,48692342230.8
2022-11-01,'600132,÷ÿ«Ï∆°æ∆,94.68,95.79,85.79,88.42,87.42,7.26,8.3047,1.7356,8399840,762367854.0,45822393026.6,45822393026.6
2022-10-31,'600132,÷ÿ«Ï∆°æ∆,87.42,89.59,85.03,87.56,89.0,-1.58,-1.7753,0.6526,3158290,276426288.0,42308762129.2,42308762129.2
2022-10-28,'600132,÷ÿ«Ï∆°æ∆,89.0,92.0,87.99,88.0,88.84,0.16,0.1801,0.8862,4289091,388911942.0,43073436622.0,43073436622.0
2022-10-27,'600132,÷ÿ«Ï∆°æ∆,88.84,93.29,88.65,92.36,92.0,-3.16,-3.4348,0.716,3465142,314274598.0,42996001230.3,42996001230.3
2022-10-26,'600132,÷ÿ«Ï∆°æ∆,92.0,92.65,90.01,90.21,89.7,2.3,2.5641,0.8118,3929024,359609504.0,44525350216.0,44525350216.0
2022-10-25,'600132,÷ÿ«Ï∆°æ∆,89.7,91.21,87.86,89.94,90.45,-0.75,-0.8292,1.0025,4851712,433814064.0,43412216460.6,43412216460.6
2022-10-24,'600132,÷ÿ«Ï∆°æ∆,90.45,94.8,90.45,93.55,95.0,-4.55,-4.7895,0.7969,3856736,354219720.0,43775194859.1,43775194859.1
2022-10-21,'600132,÷ÿ«Ï∆°æ∆,95.0,96.49,94.73,95.8,96.5,-1.5,-1.5544,0.4897,2369938,225837710.0,45977263810.0,45977263810.0
2022-10-20,'600132,÷ÿ«Ï∆°æ∆,96.5,99.48,93.0,94.13,94.65,1.85,1.9546,0.7869,3808141,367775946.0,46703220607.0,46703220607.0
2022-10-19,'600132,÷ÿ«Ï∆°æ∆,94.65,97.71,94.44,97.22,98.14,-3.49,-3.5561,0.724,3503870,334312480.0,45807873890.7,45807873890.7
2022-10-18,'600132,÷ÿ«Ï∆°æ∆,98.14,100.8,97.7,99.8,99.37,-1.23,-1.2378,0.5773,2794191,276064514.0,47496933371.7,47496933371.7
2022-10-17,'600132,÷ÿ«Ï∆°æ∆,99.37,101.25,98.25,99.6,99.5,-0.13,-0.1307,0.8532,4129324,411198967.0,48092217945.3,48092217945.3
2022-10-14,'600132,÷ÿ«Ï∆°æ∆,99.5,100.5,96.65,96.65,95.52,3.98,4.1667,0.9583,4637995,458793228.0,48155134201.0,48155134201.0
2022-10-13,'600132,÷ÿ«Ï∆°æ∆,95.52,100.13,95.46,97.09,98.97,-3.45,-3.4859,0.7299,3532438,344546983.0,46228928833.0,46228928833.0
2022-10-12,'600132,÷ÿ«Ï∆°æ∆,98.97,99.3,93.53,95.5,96.15,2.82,2.9329,1.1603,5615568,539556795.0,47898629466.1,47898629466.1
2022-10-11,'600132,÷ÿ«Ï∆°æ∆,96.15,100.9,93.88,100.9,100.98,-4.83,-4.7831,1.644,7956288,764407014.0,46533830687.7,46533830687.7
2022-10-10,'600132,÷ÿ«Ï∆°æ∆,100.98,112.3,100.98,111.0,112.2,-11.22,-10.0,1.461,7070988,746948936.0,48871411574.0,48871411574.0
2022-09-30,'600132,÷ÿ«Ï∆°æ∆,112.2,113.8,111.14,111.66,111.9,0.3,0.2681,0.7002,3388576,381308288.0,54301568415.6,54301568415.6
2022-09-29,'600132,÷ÿ«Ï∆°æ∆,111.9,115.55,111.05,113.55,113.32,-1.42,-1.2531,0.6806,3293938,371961407.0,54156377056.2,54156377056.2
2022-09-28,'600132,÷ÿ«Ï∆°æ∆,113.32,117.0,112.84,113.88,115.35,-2.03,-1.7599,0.9955,4817812,552134331.0,54843616157.4,54843616157.4
2022-09-27,'600132,÷ÿ«Ï∆°æ∆,115.35,115.55,105.55,108.0,107.22,8.13,7.5825,1.6969,8212373,922190513.0,55826077689.3,55826077689.3
2022-09-26,'600132,÷ÿ«Ï∆°æ∆,107.22,108.23,104.0,104.95,105.6,1.62,1.5341,0.8666,4194296,450136972.0,51891391849.6,51891391849.6
2022-09-23,'600132,÷ÿ«Ï∆°æ∆,105.6,107.23,102.25,102.25,102.84,2.76,2.6838,1.0195,4933976,520403282.0,51107358508.8,51107358508.8
2022-09-22,'600132,÷ÿ«Ï∆°æ∆,102.84,105.5,102.18,104.78,105.63,-2.79,-2.6413,0.6058,2932085,302947254.0,49771598002.3,49771598002.3
2022-09-21,'600132,÷ÿ«Ï∆°æ∆,105.63,109.29,105.1,108.0,108.3,-2.67,-2.4654,0.6858,3319052,352731899.0,51121877644.7,51121877644.7
2022-09-20,'600132,÷ÿ«Ï∆°æ∆,108.3,108.67,105.44,107.5,106.85,1.45,1.357,0.6083,2944169,316544772.0,52414080743.4,52414080743.4
2022-09-19,'600132,÷ÿ«Ï∆°æ∆,106.85,107.71,102.34,105.5,105.05,1.8,1.7135,0.604,2922967,310286566.0,51712322506.3,51712322506.3
2022-09-16,'600132,÷ÿ«Ï∆°æ∆,105.05,109.89,104.89,107.88,107.88,-2.83,-2.6233,0.6092,2948397,315305156.0,50841174349.9,50841174349.9
