ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2022-11-10,'600779,Ë®¾®·»,63.16,63.96,62.01,62.22,62.6,0.56,0.8946,0.7345,3586903,226561416.0,30844905897.7,30844905897.7
2022-11-09,'600779,Ë®¾®·»,62.6,64.17,62.6,63.76,63.32,-0.72,-1.1371,0.5437,2655174,167350461.0,30571423514.8,30571423514.8
2022-11-08,'600779,Ë®¾®·»,63.32,64.88,63.0,63.94,63.94,-0.62,-0.9697,0.6919,3379099,215209509.0,30923043721.4,30923043721.4
2022-11-07,'600779,Ë®¾®·»,63.94,64.29,62.71,63.4,63.82,0.12,0.188,0.8753,4274524,271899698.0,31225827788.1,31225827788.1
2022-11-04,'600779,Ë®¾®·»,63.82,64.92,62.04,62.04,62.01,1.81,2.9189,1.3796,6737297,430421243.0,31167224420.4,31167224420.4
2022-11-03,'600779,Ë®¾®·»,62.01,62.2,61.03,61.6,62.44,-0.43,-0.6887,0.7975,3894828,240430665.0,30283290290.0,30283290290.0
2022-11-02,'600779,Ë®¾®·»,62.44,63.92,60.21,60.41,61.19,1.25,2.0428,1.5432,7536525,470136181.0,30493285691.1,30493285691.1
2022-11-01,'600779,Ë®¾®·»,61.19,61.2,57.19,57.19,56.58,4.61,8.1478,1.6066,7846031,469398704.0,29882833943.6,29882833943.6
2022-10-31,'600779,Ë®¾®·»,56.58,57.38,54.55,54.7,55.38,1.2,2.1668,0.771,3765401,211408679.0,27631487898.8,27631487898.8
2022-10-28,'600779,Ë®¾®·»,55.38,57.99,54.88,57.68,57.56,-2.18,-3.7874,0.9301,4542234,255729608.0,27045454221.2,27045454221.2
2022-10-27,'600779,Ë®¾®·»,57.56,59.96,57.23,59.65,59.29,-1.73,-2.9179,0.7937,3876201,226183079.0,28110082068.9,28110082068.9
2022-10-26,'600779,Ë®¾®·»,59.29,60.26,57.55,57.55,57.55,1.74,3.0235,0.9336,4559469,269403912.0,28954947287.4,28954947287.4
2022-10-25,'600779,Ë®¾®·»,57.55,57.98,56.18,56.6,57.16,0.39,0.6823,0.6916,3377708,192586553.0,28105198454.9,28105198454.9
2022-10-24,'600779,Ë®¾®·»,57.16,60.67,57.1,60.66,60.83,-3.67,-6.0332,1.0636,5194395,304480387.0,27914737509.7,27914737509.7
2022-10-21,'600779,Ë®¾®·»,60.83,61.96,60.52,61.7,61.7,-0.87,-1.41,0.4315,2107491,128931476.0,29707023840.3,29707023840.3
2022-10-20,'600779,Ë®¾®·»,61.7,62.77,60.51,61.12,61.2,0.5,0.817,0.6997,3417225,211641548.0,30131898256.6,30131898256.6
2022-10-19,'600779,Ë®¾®·»,61.2,62.19,60.81,62.14,62.13,-0.93,-1.4969,0.6376,3113727,191110673.0,29887717557.6,29887717557.6
2022-10-18,'600779,Ë®¾®·»,62.13,63.38,62.12,63.0,62.68,-0.55,-0.8775,0.5778,2821927,176773150.0,30341893657.7,30341893657.7
2022-10-17,'600779,Ë®¾®·»,62.68,63.0,61.8,62.08,62.38,0.3,0.4809,0.6423,3136866,195936346.0,30610492426.6,30610492426.6
2022-10-14,'600779,Ë®¾®·»,62.38,62.9,61.11,61.29,61.31,1.07,1.7452,0.8979,4384810,273115278.0,30463984007.2,30463984007.2
2022-10-13,'600779,Ë®¾®·»,61.31,63.48,60.75,60.9,59.32,1.99,3.3547,1.3942,6808627,422212403.0,29941437311.4,29941437311.4
2022-10-12,'600779,Ë®¾®·»,59.32,59.4,57.2,58.85,59.4,-0.08,-0.1347,0.7969,3891815,226823027.0,28969598129.4,28969598129.4
2022-10-11,'600779,Ë®¾®·»,59.4,59.86,57.0,58.89,58.89,0.51,0.866,0.6304,3078631,180861034.0,29008667041.2,29008667041.2
2022-10-10,'600779,Ë®¾®·»,58.89,62.95,58.87,62.95,62.72,-3.83,-6.1065,1.0828,5287959,320452978.0,28759602728.2,28759602728.2
2022-09-30,'600779,Ë®¾®·»,62.72,64.28,62.67,63.4,63.47,-0.75,-1.1817,0.7251,3541124,224260905.0,30630026882.6,30630026882.6
2022-09-29,'600779,Ë®¾®·»,63.47,65.46,63.02,64.59,63.52,-0.05,-0.0787,0.7807,3812658,244844338.0,30996297931.1,30996297931.1
2022-09-28,'600779,Ë®¾®·»,63.52,65.96,63.45,64.99,64.99,-1.47,-2.2619,0.9318,4550515,294869874.0,31020716001.0,31020716001.0
2022-09-27,'600779,Ë®¾®·»,64.99,65.15,61.38,62.3,62.3,2.69,4.3178,1.3158,6425997,408219460.0,31738607256.0,31738607256.0
2022-09-26,'600779,Ë®¾®·»,62.3,63.6,62.01,62.15,62.87,-0.57,-0.9066,0.727,3550199,222996473.0,30424915095.4,30424915095.4
2022-09-23,'600779,Ë®¾®·»,62.87,64.26,62.1,63.15,63.69,-0.82,-1.2875,0.6835,3337724,211281004.0,30703281092.3,30703281092.3
2022-09-22,'600779,Ë®¾®·»,63.69,64.75,63.64,64.0,64.82,-1.13,-1.7433,0.5726,2796341,179134960.0,31103737438.6,31103737438.6
2022-09-21,'600779,Ë®¾®·»,64.82,65.9,64.5,65.5,66.05,-1.23,-1.8622,0.5187,2533335,164730779.0,31655585818.4,31655585818.4
2022-09-20,'600779,Ë®¾®·»,66.05,66.5,64.71,65.52,65.29,0.76,1.164,0.7283,3556787,233665877.0,32256270337.9,32256270337.9
2022-09-19,'600779,Ë®¾®·»,65.29,66.3,63.37,64.42,64.55,0.74,1.1464,0.8125,3967990,257922903.0,31885115675.4,31885115675.4
2022-09-16,'600779,Ë®¾®·»,64.55,68.1,64.5,67.47,67.82,-3.27,-4.8216,1.1204,5471576,359049245.0,31523728240.9,31523728240.9
2022-09-15,'600779,Ë®¾®·»,67.82,68.64,67.17,68.35,67.97,-0.15,-0.2207,0.7525,3675086,250192325.0,33120670012.4,33120670012.4
2022-09-14,'600779,Ë®¾®·»,67.97,69.76,67.72,69.28,70.42,-2.45,-3.4791,1.3792,6735426,460637549.0,33193924222.1,33193924222.1
