title,emotion
酱酒视界日刊 |1106刊：华润万家投超2万瓶飞天茅台；,1
白酒底部了，开始起飞[看多][看多][看多][看多][看多],1
早买早发财[看多][看多][看多][看多][看多][看多][看,1
严格按住套压盘不能走，必然暴跌，保证大暴跌。杀龙头,0
下来吧，别装了,0
以后只有供销社可以买到茅台，哈哈,0
日月股份，最近必定大涨，茅台的叔叔阿姨，哥哥姐姐，,1
净资产164元以上都卖空,1
我卖空你随意,1
1500多元的茅台去年派息21.756元／股，年化收益率不到,0
今天有点麻烦，20均线压力大，,0
11月7日开盘前汇总与更新的表格上周五收盘后，一直没,0
看a50这样…大哥又被做空了？,0
低开2个点了,0
基金账面浮盈，出不了货，竹篮打水一场空,0
就是卖空抱团股,0
继续不断卖空,0
本团队不断卖空明天又卖空,0
贵州茅台从来不欺骗穷人欺骗散户！,1
熊市反弹最伤人,0
开始继续卖空大幅卖空你们抄底我卖空,0
本团队开始卖空继续做空,0
[爱心][爱心][爱心][买入][买入][买入][上涨][上涨][,1
废了，大幅低开,0
全是坑专坑散户,0
[干杯][干杯][主力][主力][主力][买入][买入][国家队],1
机会来了 你能把握住？,1
张婷涨停贵州茅台五粮液资金进场九安医疗,1
我本金只有100000元，什么时候可以加仓,0
周、日线共振，来自茅台的呼唤,1
九安今天猛烈冲刺一波,1
对于下周，我为什么不直接给出的一个看多或者看空答案,0
扔了旧鞋买了新鞋，希望自己踏上新征程成为有钱人，等,1
韭菜复盘。受人民币升值的利好消息刺，A股走出了五连,1
完蛋，融资盘进来五个亿[怒],0
今天暴涨-5%[看空],0
同志们大家好，最近白酒市场的回调已经结束，这个贵州,0
贵州茅台：为什么白酒概念板块没有涨停板的龙头哪？还,0
今天早上开盘应该在1345，然后震荡走低，破1300是肯定,1
精准防控，利国利民，利好经济发展，利好股市,1
茅台接下来策略，周一集合竞价1500以上走人，200万底,1
珍惜生命，远离白酒！！！,0
今天，靠信仰支撑,1
北汽蓝谷要起飞了，股价低，板块好,1
宁德现价404元，下周涨是一定，现在搞不清的就是宁德,1
进入缩量单边下挫。,0
消费要走下坡路了吗？,0
逢高做空就完了,1
转发,0
年轻人不喝白酒是事实！,0
原计划今年存够40万，结果年初30万，年末就剩20万,0
上证现价3070点，大盘多将调整后继续上涨只要提到3030,1
难兄难弟两个垃圾,0
做为贵公司小股民，二千多买入长期持有，几乎腰折了，,0
抢，婴儿底部600853利好,1
茅台一涨，大盘又要回调了,1
上市高管有责任心维护广大股东利益，力所能及的市值维,1
各位朋友，有没有发现，我最近分享的内容很少了，越来,0
转发,0
明天准备卖出手上的200股茅台，加计算机和半导体！！,1
美股终结四连跌中概走高，下周A股行情继续可期！,1
抛弃？！致敬侧翻,0
[爱心][爱心][爱心][爱心][爱心][上涨][上涨][上涨][,1
啥是通货膨胀？看完你绝对有深刻的理解！如果你举凉皮,1
预测估计明天大跌，很多人下周不好看，说这周上涨靠假,0
维持卖出评级目标价250操作建议空仓看戏[韭菜][韭菜][,0
茅台的营销渠道必须改革，否则肯定会慢慢被其他白酒赶,1
周末消息没啥重磅的，我觉得重要的其实还是防控的发布,0
白酒毕竟不是必选消费品！且八规己长期定！,0
大家一起大声喊赶紧跌停。害人的东西。,0
本周重点关注3100点附近阻力，强阻力区间在3100-3150,0
贵州茅台：现金流表现优异，报表留有余力,1
指数大涨赛道高潮，周一盘面重点关注什么？,0
【A股主流ETF】消费龙头ETF10.21最近3日资,0
周线放量长阳包阴，下周多空会否缠斗？ (周,0
要赚钱就买中国石化，股息率11%，股价4.3元,1
腾讯市值被贵州茅台超越，汇总腾讯三季报业,1
股市不值得，再见了我的朋友！！！清仓销户,0
[cp]珍爱生命，远离股市。[/cp],0
11月会是年前最肥美的一个月,1
茅台难维持回强势,0
大概周二就会跌停板，一个比一个逃的快,0
消费周报 | 白酒近期暴跌原因曝光,0
上涨第一天：降智小作文。上涨第二天：难道是真的？上,1
保钱保命不保酒,0
我不喝茅台喝石油,0
A股没有牛市，别哔哔了[韭菜][韭菜][韭菜][韭菜][韭菜,0
茅台价值独一档，涨到3000也绝不是问题。,1
珍惜生命，远离白酒！！！,0
大多唱空矛台可以买啦,1
炒股20年，现在还亏着，当时为什么没有买你,0
将来的毛台就是现在的海天味业,0
不是我买不起就说茅台要跌哈哈哈,0
人民币狂飙，大宗商品价格大涨，下周一应该很有看点啊,1
珍惜生命，远离白酒！！！,0
$贵州茅台(SH600519)$茅台的毛利率我认为还有一定的市,0
转发,0
散户几百万三瓜两枣的！套了就套了！大资金都等得起！,0
转发,0
明天卖空,1
转发,0
茅台是机构在意，想一下如果你用100万投入股市会买6手,1
致管理层,1
北京-习水-茅台，独一份的华都“三地”文化酱酒之旅,1
发表一点看法,0
喝过茅台的人，就知道它的价值，3000元一瓶才是市价。,1
无缘无故的跌，无缘无故的涨，什么时候能下探一次700,0
跨界玩,0
[大笑][大笑][大笑]兄弟们去拍卖呀,1
3070点，小姐姐致A股1.8亿投资者，挑选估值较低，回调,1
珍惜生命，远离白酒！！！,0
这个票大底在1200附近,0
宜宾白酒前9月产值556亿；仁怀经开区酱酒前三季度产值,0
茅台从来不坑穷人，涨一下，不然下来就能坑到穷人了,0
茅台酒必走大益普洱茶的路大跌一半，茅台股票明年必跌,0
一直有疑问，快手、抖音上卖的茅台酒酒便宜到100元以,0
珍惜生命，远离白酒！！！,0
常者 皆尽，高者必堕,0
茅台如果再跌破1509则是延续30分下跌趋势,0
每一次反弹，都是减仓兑现！别再受骗上当，被洗脑还不,0
业绩超过贵州茅台！！价格还在67.34元。,0
把它工商银行化，每股净资产对标，收益对标，得出股价,1
白酒，医药属于大资金自救，拉高出货后还有一次腰斩，,0
11月券商金股出炉！贵州茅台“遇冷”，多股同为私募基,0
预计会有慢牛行情1、今年的行情很特别，凡是底部加仓,0
贵州茅台成交额超100亿元,1
据悉：第十四届中国航展（11月8～13日广东珠海）飞行,1
谢国忠05年说，白酒伤身，不受政策支持，合理股价在50,0
世界最顶级的公司，苹果公司过去十年收益是642%（后复,1
今天盘中供销社概念股继续走强，[偷笑][抓狂],1
珍惜生命，远离白酒！！！,0
中国移动与茅台集团签署战略合作协议,1
特斯拉+比亚迪市值已超油车时代全球汽车市值,1
贵州茅台本周被沪股通减持26.97亿元，周内减持市值两,0
【权重股2022三季报点评】三季度回款情况良好，i茅台,1
茅台这么高的价值，一股1500多，凭什么这么高？就是一,0
大佬退场，股价骨折，互联网大厂还好吗？,0
炒股要跟趋势热点走！信创、科技、医药+军工是本轮行,0
茅台成交量不到十万！如果周一成交量无法放量的话就无,0
1333.33 是本轮下跌低点,0
涨到3000我就接盘，不到我是不会接盘的，我专业低抛高,0
【弱式反弹】下周反弹结束，将下跌到1314??19元略下。,0
贵州茅台本周融资净偿还4.33亿元，两市排名第二,0
贵州茅台干脆跌到500，这样大家就都可以买点珍藏。高,0
大家都是来看热闹的吧,0
中产阶层的崛起与共同富裕.——看茅台供不应求的背后.,1
求求你跌回200元我马上倾家买入！[大笑][大笑][鼓掌],0
是底不大涨，大涨，不是底[摊手],0
11.04 收评  市场拒绝回踩，继续向上拓展空间,0
年底2000应该不成问题，机构这几天吃了几十亿的带血筹,0
这个股至少三个涨停板,1
目前来看，应该回避酒类股票，酒类股票已经普遍高估，,0
18家白酒三季报营收增速谁最低？头部五粮液12.19%，腰,0
白酒行业，成本,0
1300点附近是有很强的抵抗力和支撑性的。,0
看似迷雾一团，实际清晰可辨。,0
[火箭][火箭][火箭][火箭][火箭][火箭],1
每股复权价8200元，北上资金的最爱？反弹自救而已。,0
很快开房，卖茅台，抄底别的[666],0
大盘五阳夯实基础，下周能有多大期许？（11.04）,0
全网最精准的分析！挑战一切大神！周期型股票，寻找机,1
在合理乃至便宜时，投资最优秀的企业，老号（不清楚什,1
贵州茅台我很怕到5000,0
一瓶酒水炒到火星上了，毫无价值意义。更看好光伏发电,0
