title,emotion
明天暴跌,1
食品饮料行业周报：糖酒会符合预期 外部环境逐步转好 ,1
哈哈我国,1
足球世界杯快来了，在足球比赛中，经常听到这样一句话,0
20221116～卧龙复盘～大盘突破60天线回踩看支撑!?,0
两万亿超级大垃圾股……都还做梦市值能到四万亿呢？套,0
下午继续往下砸，再拉起来。说明市场资金少，情绪差，,1
现在买入套一辈子,1
能涨到2800又怎样，看看万方，天鹅，西安，众泰，贵绳,0
反弹也没赚到钱，就开始结束了，真的太难了啊，股市，,0
价值投资大集！！！价值投机茅台！！！,1
明天黑色星期四，大家忘了吗？[大笑][大笑][大笑],0
二千不是梦，不到坚决持有。,0
急急急,0
恐惧症,1
吃面,0
看了一下都是小散在火中取栗一手几手的累不累，没有被,1
明天是黑色星期四，反弹结束，现在空仓，买511360做对,0
好好吃饭,1
20221116～卧龙午盘小憩。,1
市场空头不是揣测海控的业绩明年大幅下滑，就是后年又,1
吃错了药,1
好好工作,1
一千只基金抱团，杠杠的！,1
使劲抱紧了！还暖和些！,0
$贵州茅台(SH600519)$,0
你不拉大盘怎么知有用,0
$贵州茅台(SH600519)$宁德现价384这个老鼠还在打还有,0
梭哈2手,1
茅台逢市价减仓兑现为主，仍看壹仠元壹股仍信不变。万,0
茅台开盘涨不停公告：茅台冰淇淋年轻人最爱！三千元茅,1
高位横盘震荡吸筹,1
反弹结束，现在空仓，买511360做对冲，铁律不会被套！,0
转发,0
1595买的在山顶好凉快[看空],1
两市唯一不套人的票,0
个位数的成交有什么意思,0
不能向下沉沦，要向上升华，新中国新时代新未来！,1
多头明显没多大了,0
似乎只有大科技才能激活市场、引领市场和吸引场外资金,1
给持有茅台的股民每人半价购两瓶飞天的资格,0
目前喝酒的人越来越少，而酒厂生产的越来越多，价钱越,1
$贵州茅台(SH600519)$,0
 近2年跑赢沪深300达78%，他的投资为何火力十足？,1
胸怀天下：本币股票的跨国避险平仓利超过永久持股本金,1
南京新百比贵州茅台好，十倍机会,1
梭哈到天亮，用不停息,0
冲冲冲，第一目标位2000。,0
茅子不能上去啊,0
买贵州茅台（大茅台）不如买中锐股份旗下贵宴樽15（小,0
离2万亿还差点,0
重大利好：贵宴樽酒（小茅台）此次成都展会6天销售额1,0
下午大盘靠你了，拉起来,1
超买，马上回调,0
就它吧来它一大箱大气有格局。嘱咐别被人狸换太子。[,1
第四次立帖为证：贵州茅台必将重复四川长虹走势,0
转发,0
既想大盘红，又没人真心实意拉阿茅，有意思了！[大笑],1
整个股市的祸害,1
夕阳产业，200元以下,1
年轻人都不喝酒[滴汗]茅台被囤起来的居多,1
懂行的老师们请出来帮忙看看这酒买了收藏起来送礼如何,0
内资机构不全面布局，还不如这波结束，等茅台融资客爆,0
合理价位200元,0
茅台泡脚，杀菌止痒[大笑],0
没有买茅台的散户们，也不要去顶板了，顶板风险太大了,0
估计，不排除复制历史上茅台持续的上涨，而相当多的股,0
如果下午机构不全面护盘，任由大多数票下跌，只拉权重,0
2000才解套[哭],1
1600是个生死关吗[笑哭],1
要是两天前买就好了，虽然只买的起一手[笑哭],1
这行情应该会有很大的空间,1
