index_content,word,nature,emotion
1,明天,t,1
1,暴跌,v,1
2,食品饮料,n,1
2,行业,n,1
2,周报,n,1
2,糖酒会,n,1
2,符合,v,1
2,预期,vn,1
2,外部环境,n,1
2,转好,v,1
3,我国,r,1
4,足球,n,0
4,世界杯,nz,0
4,足球比赛,n,0
4,中,f,0
4,听到,v,0
4,一句,m,0
4,话,n,0
5,卧龙,ns,0
5,复盘,v,0
5,大盘,n,0
5,突破,vn,0
5,天线,n,0
5,回,v,0
5,踩,v,0
5,支撑,v,0
6,两,m,0
6,万亿,m,0
6,超级,b,0
6,垃圾股,n,0
6,做梦,v,0
6,市值,n,0
6,万亿,m,0
6,套,q,0
7,砸,v,1
7,拉,v,1
7,市场,n,1
7,资金,n,1
7,少,a,1
7,情绪,n,1
7,差,a,1
8,买入,v,1
8,套,q,1
8,一辈子,m,1
9,能涨,v,0
9,万方,m,0
9,天鹅,nz,0
9,西安,ns,0
9,众泰,nz,0
9,贵绳,n,0
10,反弹,v,0
10,没赚,v,0
10,钱,n,0
10,结束,v,0
10,真的,d,0
10,太,d,0
10,难,a,0
10,股市,n,0
11,价值,n,1
11,投资,vn,1
11,大集,n,1
11,价值,n,1
11,投机,n,1
12,明天,t,0
12,黑色,n,0
12,星期四,t,0
12,忘,v,0
12,大笑,v,0
12,大笑,v,0
12,大笑,v,0
13,二千,m,0
13,梦,n,0
13,不到,v,0
13,持有,v,0
14,急急,a,0
14,急,v,0
15,恐惧症,n,1
16,吃,v,0
16,面,n,0
17,散,v,1
17,火中取栗,i,1
17,一手,m,1
17,几手,m,1
17,累不累,v,1
17,被,p,1
18,明天,t,0
18,黑色,n,0
18,星期四,t,0
18,反弹,v,0
18,结束,v,0
18,空仓,n,0
18,买,v,0
18,做,v,0
19,好好,d,1
19,吃饭,v,1
20,卧龙,ns,1
20,午盘,n,1
20,小憩,nr,1
21,市场,n,1
21,空头,n,1
21,揣测,v,1
21,海控,j,1
21,业绩,n,1
21,明年,t,1
21,大幅,d,1
21,下滑,v,1
21,后年,t,1
22,吃,v,1
22,错,v,1
22,药,n,1
23,好好,d,1
23,工作,vn,1
24,一千只,m,1
24,基金,n,1
24,抱团,n,1
24,杠杠,n,1
25,使劲,v,0
25,抱紧,v,0
25,暖和,a,0
27,拉,v,0
27,大盘,n,0
27,知,v,0
27,有用,v,0
28,宁德,nr,0
28,现价,n,0
28,老鼠,n,0
28,打,v,0
29,梭哈,nrt,1
29,手,n,1
30,市价,n,0
30,减仓,v,0
30,兑现,v,0
30,壹,m,0
30,仠,y,0
30,元,q,0
30,壹,m,0
30,股,q,0
30,信,n,0
30,万,m,0
31,开盘,v,1
31,涨,v,1
31,不停,d,1
31,公告,n,1
31,冰淇淋,nr,1
31,年轻人,n,1
31,爱,v,1
31,三千元,m,1
31,茅,n,1
32,高位,n,1
32,横盘,n,1
32,震荡,v,1
32,吸筹,v,1
33,反弹,v,0
33,结束,v,0
33,空仓,n,0
33,买,v,0
33,做,v,0
33,对冲,n,0
33,铁律,n,0
33,被套,a,0
34,转发,v,0
35,买,v,1
35,山顶,n,1
35,凉快,a,1
35,空,n,1
36,两,m,0
36,市,n,0
36,唯一,b,0
36,不套,m,0
36,票,n,0
37,个位数,n,0
37,成交,v,0
38,向下,v,1
38,沉沦,v,1
38,向上,d,1
38,升华,nz,1
38,新,a,1
38,新,a,1
38,时代,n,1
38,新,a,1
38,未来,t,1
39,多头,m,0
40,科技,n,1
40,激活,a,1
40,市场,n,1
40,引领,v,1
40,市场,n,1
40,吸引,v,1
40,场外,s,1
40,资金,n,1
41,持有,v,0
41,股民,n,0
41,每人,r,0
41,半价,n,0
41,购,v,0
41,两瓶,m,0
41,飞天,n,0
41,资格,n,0
42,喝酒,v,1
42,越来越少,l,1
42,酒厂,n,1
42,生产,vn,1
42,越来越,d,1
42,价钱,n,1
42,越,d,1
44,近年,t,1
44,跑,v,1
44,赢,v,1
44,沪,j,1
44,深达,nz,1
44,投资,vn,1
44,火力,n,1
44,十足,d,1
45,胸怀,n,1
